iter	Passed	Remaining
0	160	12644
1	179	6998
2	197	5075
3	216	4118
4	235	3539
5	256	3168
6	278	2905
7	297	2676
8	317	2506
9	334	2340
10	351	2207
11	370	2096
12	386	1992
13	405	1909
14	423	1835
15	442	1769
16	461	1709
17	478	1648
18	497	1596
19	515	1547
20	533	1498
21	552	1456
22	568	1409
23	587	1370
24	604	1330
25	622	1292
26	641	1259
27	658	1223
28	677	1190
29	695	1158
30	711	1125
31	729	1093
32	745	1062
33	763	1032
34	780	1003
35	797	974
36	814	946
37	832	920
38	849	892
39	867	867
40	885	842
41	902	816
42	921	793
43	938	767
44	958	745
45	976	721
46	994	698
47	1013	675
48	1032	653
49	1055	633
50	1072	609
51	1088	586
52	1107	564
53	1123	541
54	1142	519
55	1159	497
56	1175	474
57	1194	453
58	1212	431
59	1229	409
60	1248	388
61	1265	367
62	1286	347
63	1313	328
64	1342	309
65	1362	289
66	1384	268
67	1405	248
68	1441	229
69	1461	208
70	1479	187
71	1496	166
72	1515	145
73	1532	124
74	1551	103
75	1569	82
76	1588	61
77	1607	41
78	1626	20
79	1644	0
