label,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22
0,3,10,17,3581,7906,7980,12997,13305,13334,310156,1535819,1541003,1541007,1541480,1543495,1543504,1543566,1543947,1543950,1544064,1544212,1544259
0,1,9,17,3581,7906,7939,12998,13307,13335,877815,1534612,1541001,1541008,1541270,1543495,1543504,1543534,1543945,1543972,1544056,1544188,1544252
0,1,10,32,3596,7907,7931,12997,13304,13335,997629,1534409,1541001,1541007,1541018,1543495,1543504,1543517,1543946,1543952,1544023,1544187,1544270
0,3,10,17,3581,7906,10308,12997,13305,13334,300632,1534427,1541003,1541007,1543248,1543495,1543504,1543842,1543947,1543951,1544018,1544187,1544251
0,2,9,249,3814,7906,7931,12997,13304,13334,291516,1535179,1541002,1541007,1541174,1543495,1543504,1543565,1543945,1543950,1544032,1544188,1544254
1,1,9,18,3582,7908,7931,12997,13304,13335,292378,1534417,1541001,1541007,1541167,1543495,1543504,1543520,1543945,1543950,1544018,1544188,1544263
0,1,9,18,3582,7908,7931,12997,13304,13335,291528,1534420,1541001,1541007,1541170,1543495,1543504,1543524,1543945,1543952,1544018,1544188,1544262
1,1,9,18,3582,7908,7931,12997,13304,13335,1374456,1534458,1541001,1541007,1541036,1543495,1543504,1543542,1543945,1543950,1544018,1544198,1544258
0,1,9,18,3582,7908,7931,12997,13304,13335,291658,1534483,1541001,1541008,1541022,1543495,1543504,1543514,1543945,1543950,1544018,1544189,1544251
0,1,10,351,3697,7907,7931,12997,13304,13335,291521,1534476,1541001,1541007,1541082,1543495,1543504,1543582,1543946,1543980,1544026,1544192,1544258
0,1,10,35,3599,7909,7931,12997,13304,13335,291516,1534409,1541001,1541007,1541021,1543495,1543504,1543517,1543946,1543952,1544029,1544187,1544253
0,1,9,17,3581,7906,7979,12998,13306,13334,713920,1534425,1541001,1541008,1541033,1543495,1543504,1543522,1543945,1543950,1544020,1544193,1544252
0,1,10,17,3581,7906,7954,12998,13305,46080,347615,1535107,1541001,1541007,1541811,1543496,1543504,1543692,1543946,1543954,1544018,1544187,1544254
0,2,9,102,3675,7906,7931,12997,13304,13334,350966,1535606,1541002,1541007,1541138,1543495,1543504,1543625,1543946,1543956,1544024,1544225,1544257
0,1,9,18,3582,7908,7931,12997,13304,13335,291717,1534659,1541001,1541007,1541026,1543495,1543504,1543514,1543945,1543950,1544018,1544189,1544254
0,1,10,32,3596,7907,7931,12997,13304,13335,398259,1534670,1541001,1541007,1541135,1543495,1543504,1543528,1543945,1543952,1544022,1544188,1544251
0,1,9,17,3581,7906,7949,12998,13307,13334,291516,1534425,1541001,1541007,1541048,1543495,1543504,1543533,1543945,1543950,1544018,1544188,1544266
1,1,9,21,3584,7909,7931,12997,13304,13335,291516,1534437,1541001,1541007,1541074,1543496,1543505,1543550,1543947,1543951,1544018,1544195,1544248
0,1,9,18,3582,7908,7931,12997,13304,13335,337145,1534823,1541001,1541008,1541166,1543495,1543504,1543520,1543945,1543950,1544019,1544188,1544260
0,1,9,1278,4305,7907,7931,12997,13304,13335,291516,1534424,1541001,1541007,1541098,1543495,1543504,1543589,1543948,1543976,1544018,1544198,1544265
0,1,9,27,3591,7907,7931,12997,13304,13335,340867,1534470,1541001,1541007,1541021,1543495,1543504,1543517,1543946,1543952,1544024,1544187,1544263
0,1,9,28,3588,7907,7931,12997,13304,13335,294062,1534709,1541001,1541007,1541136,1543495,1543504,1543624,1543945,1543954,1544021,1544217,1544260
1,1,9,21,3584,7909,7931,12997,13304,13335,291516,1534829,1541001,1541007,1541239,1543496,1543505,1543626,1543946,1543951,1544023,1544187,1544252
0,1,9,18,3582,7908,7931,12997,13304,13335,291516,1534441,1541001,1541007,1541165,1543495,1543504,1543520,1543945,1543950,1544018,1544188,1544254
0,2,9,17,3581,7906,7995,12997,13304,13334,291516,1535295,1541002,1541007,1541024,1543495,1543504,1543514,1543945,1543950,1544025,1544189,1544259
1,1,9,61,3610,7909,7931,12997,13304,13335,292598,1534908,1541001,1541007,1541035,1543495,1543504,1543541,1543946,1543951,1544047,1544187,1544270
0,1,9,17,3581,7906,7935,12998,13308,13335,308438,1534689,1541001,1541007,1541378,1543495,1543504,1543688,1543947,1543974,1544018,1544218,1544261
0,1,9,18,3582,7908,7931,12997,13304,13335,1503556,1534485,1541001,1541007,1541022,1543495,1543504,1543514,1543945,1543950,1544018,1544189,1544260
0,1,9,18,3582,7908,7931,12997,13304,13335,376719,1534409,1541001,1541007,1541030,1543495,1543504,1543514,1543945,1543950,1544019,1544189,1544254
0,1,9,18,3582,7908,7931,12997,13304,13335,291530,1534409,1541001,1541007,1541029,1543495,1543504,1543514,1543945,1543950,1544018,1544189,1544262
0,1,9,45,3594,7908,7931,12997,13304,13335,291516,1534454,1541001,1541007,1541113,1543495,1543504,1543570,1543946,1543950,1544018,1544201,1544262
0,1,10,19,3583,7907,7931,12997,13304,13335,607723,1534437,1541001,1541007,1541012,1543495,1543504,1543518,1543947,1543951,1544020,1544194,1544252
0,1,9,18,3582,7908,7931,12997,13304,13335,291748,1534417,1541001,1541007,1541267,1543495,1543504,1543577,1543945,1543950,1544018,1544198,1544262
0,1,9,213,3739,7909,7931,12997,13304,13335,291516,1534449,1541001,1541007,1541699,1543495,1543504,1543640,1543947,1543954,1544023,1544204,1544249
0,1,9,17,3581,7906,7951,12998,13305,13335,294091,1534715,1541001,1541007,1541033,1543495,1543504,1543522,1543945,1543950,1544018,1544193,1544249
0,1,10,36,3600,7907,7931,12997,13304,13335,291561,1534464,1541001,1541007,1541082,1543495,1543504,1543582,1543946,1543980,1544026,1544192,1544267
0,1,9,18,3582,7908,7931,12997,13304,13335,298394,1534420,1541001,1541007,1541023,1543495,1543504,1543514,1543945,1543950,1544025,1544189,1544249
0,1,10,51,3611,7909,7931,12997,13304,13335,291516,1534577,1541001,1541007,1541096,1543495,1543504,1543557,1543947,1543951,1544029,1544194,1544252
0,1,10,30,3593,7907,7931,12997,13304,13335,850715,1534487,1541001,1541007,1541017,1543495,1543504,1543516,1543945,1543960,1544023,1544190,1544264
0,1,9,17,3581,7906,7950,13003,13305,13335,294999,1534417,1541001,1541007,1541160,1543495,1543504,1543559,1543946,1543955,1544018,1544199,1544261
0,1,9,18,3582,7908,7931,12997,13304,13335,319636,1534411,1541001,1541007,1541146,1543495,1543504,1543524,1543945,1543965,1544019,1544188,1544254
